Feature,Model,PhysioNet mean,PhysioNet std,PhysioNet ci95 low,PhysioNet ci95 high,BCI2a mean,BCI2a std,BCI2a ci95 low,BCI2a ci95 high
Time Domain,Log. Reg.,0.6135,0.0243,0.5926,0.6341,0.6757,0.0833,0.6028,0.7528
Time Domain,SVM,0.6157,0.025,0.594,0.6366,0.676,0.08,0.6059,0.751
Time Domain,Rand. Forest,0.5793,0.0095,0.5697,0.587,0.6455,0.0527,0.6101,0.7
Band Power,Log. Reg.,0.6028,0.0179,0.5863,0.6178,0.6368,0.087,0.5628,0.7128
Band Power,SVM,0.6032,0.0165,0.5879,0.6177,0.6344,0.0884,0.558,0.7076
Band Power,Rand. Forest,0.5626,0.0212,0.5432,0.5804,0.5878,0.0618,0.533,0.6472
FFT,Log. Reg.,0.5691,0.0087,0.5616,0.5765,0.592,0.0578,0.541,0.6434
FFT,SVM,0.5697,0.0102,0.5608,0.5784,0.5917,0.0576,0.5403,0.6427
FFT,Rand. Forest,0.5237,0.0133,0.5125,0.5348,0.5594,0.039,0.5271,0.5965
